cluster_id,analysis_order,reference_id,treatment_id,execution_class,strict_correct,semantic_correct,semantic_determinate,output_tokens,finish_reason
a38fc645bc2a9a6ce072679b76782da7,288,BASE,T1_SILENT_CHECK,integrity_duplicate,True,True,True,178,stop
a38fc645bc2a9a6ce072679b76782da7,288,MASK_SENTINEL,T0_OFF,primary,True,True,True,383,stop
a38fc645bc2a9a6ce072679b76782da7,288,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,True,True,True,235,stop
a38fc645bc2a9a6ce072679b76782da7,288,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,False,False,False,334,stop
a38fc645bc2a9a6ce072679b76782da7,288,BASE,T0_OFF,primary,False,False,False,465,stop
a38fc645bc2a9a6ce072679b76782da7,288,MASK_SENTINEL,T1_SILENT_CHECK,integrity_duplicate,True,True,True,225,stop
a38fc645bc2a9a6ce072679b76782da7,288,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,integrity_duplicate,True,True,True,235,stop
a38fc645bc2a9a6ce072679b76782da7,288,MASK_SENTINEL,T0_OFF,integrity_duplicate,True,True,True,383,stop
a38fc645bc2a9a6ce072679b76782da7,288,BASE,T0_OFF,integrity_duplicate,False,False,False,465,stop
a38fc645bc2a9a6ce072679b76782da7,288,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,integrity_duplicate,False,False,False,334,stop
93864ba9d496984089eaf2d8b3e76c31,201,BASE,T1_SILENT_CHECK,primary,False,False,True,650,stop
93864ba9d496984089eaf2d8b3e76c31,201,MASK_SENTINEL,T0_OFF,primary,False,False,True,651,stop
93864ba9d496984089eaf2d8b3e76c31,201,BASE,T0_OFF,primary,True,True,True,788,stop
93864ba9d496984089eaf2d8b3e76c31,201,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,False,False,False,654,stop
93864ba9d496984089eaf2d8b3e76c31,201,MASK_SENTINEL,T1_SILENT_CHECK,primary,False,False,True,686,stop
93864ba9d496984089eaf2d8b3e76c31,201,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,False,False,True,686,stop
93864ba9d496984089eaf2d8b3e76c31,201,BASE,T1_SILENT_CHECK,integrity_duplicate,False,False,True,650,stop
93864ba9d496984089eaf2d8b3e76c31,201,BASE,T0_OFF,integrity_duplicate,True,True,True,788,stop
93864ba9d496984089eaf2d8b3e76c31,201,MASK_SENTINEL,T0_OFF,integrity_duplicate,False,False,True,651,stop
93864ba9d496984089eaf2d8b3e76c31,201,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,integrity_duplicate,False,False,False,654,stop
93864ba9d496984089eaf2d8b3e76c31,201,MASK_SENTINEL,T1_SILENT_CHECK,integrity_duplicate,False,False,True,686,stop
93864ba9d496984089eaf2d8b3e76c31,201,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,integrity_duplicate,False,False,True,686,stop
5019486bf2935a9d7a6092dc080c5a5c,163,BASE,T0_OFF,primary,False,False,False,359,stop
5019486bf2935a9d7a6092dc080c5a5c,163,BASE,T1_SILENT_CHECK,primary,True,True,True,420,stop
5019486bf2935a9d7a6092dc080c5a5c,163,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,False,False,True,257,stop
5019486bf2935a9d7a6092dc080c5a5c,163,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,289,stop
5019486bf2935a9d7a6092dc080c5a5c,163,MASK_SENTINEL,T0_OFF,primary,False,True,True,430,stop
5019486bf2935a9d7a6092dc080c5a5c,163,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,True,True,True,809,stop
a9168224ef9fa96fc09a87c906d4bbf2,72,BASE,T1_SILENT_CHECK,primary,False,False,True,530,stop
a9168224ef9fa96fc09a87c906d4bbf2,72,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,False,False,True,527,stop
a9168224ef9fa96fc09a87c906d4bbf2,72,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,False,False,True,520,stop
a9168224ef9fa96fc09a87c906d4bbf2,72,BASE,T0_OFF,primary,False,False,True,650,stop
a9168224ef9fa96fc09a87c906d4bbf2,72,MASK_SENTINEL,T1_SILENT_CHECK,primary,False,False,True,651,stop
a9168224ef9fa96fc09a87c906d4bbf2,72,MASK_SENTINEL,T0_OFF,primary,False,False,True,741,stop
3b83f42a27bf8a02ab2626ecdfefd6cc,130,BASE,T0_OFF,primary,False,True,True,329,stop
3b83f42a27bf8a02ab2626ecdfefd6cc,130,BASE,T1_SILENT_CHECK,primary,True,True,True,326,stop
3b83f42a27bf8a02ab2626ecdfefd6cc,130,MASK_SENTINEL,T0_OFF,primary,True,True,True,320,stop
3b83f42a27bf8a02ab2626ecdfefd6cc,130,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,296,stop
3b83f42a27bf8a02ab2626ecdfefd6cc,130,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,True,True,True,359,stop
3b83f42a27bf8a02ab2626ecdfefd6cc,130,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,True,True,True,301,stop
480d9676025c4c65ad7a7273d134ba2e,233,BASE,T0_OFF,primary,False,False,False,294,stop
480d9676025c4c65ad7a7273d134ba2e,233,BASE,T1_SILENT_CHECK,primary,False,False,True,354,stop
480d9676025c4c65ad7a7273d134ba2e,233,MASK_SENTINEL,T0_OFF,primary,False,False,True,352,stop
480d9676025c4c65ad7a7273d134ba2e,233,MASK_SENTINEL,T1_SILENT_CHECK,primary,False,False,True,320,stop
480d9676025c4c65ad7a7273d134ba2e,233,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,False,False,True,329,stop
480d9676025c4c65ad7a7273d134ba2e,233,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,False,False,True,375,stop
20f8720bc00a7422636647591d420c69,42,BASE,T0_OFF,primary,True,True,True,541,stop
20f8720bc00a7422636647591d420c69,42,BASE,T1_SILENT_CHECK,primary,True,True,True,454,stop
20f8720bc00a7422636647591d420c69,42,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,439,stop
20f8720bc00a7422636647591d420c69,42,MASK_SENTINEL,T0_OFF,primary,True,True,True,468,stop
20f8720bc00a7422636647591d420c69,42,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,True,True,True,454,stop
20f8720bc00a7422636647591d420c69,42,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,True,True,True,517,stop
319d08f37f59a8781453083e8a0092f9,8,BASE,T0_OFF,primary,False,True,True,328,stop
319d08f37f59a8781453083e8a0092f9,8,BASE,T1_SILENT_CHECK,primary,True,True,True,321,stop
319d08f37f59a8781453083e8a0092f9,8,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,321,stop
319d08f37f59a8781453083e8a0092f9,8,MASK_SENTINEL,T0_OFF,primary,False,True,True,366,stop
319d08f37f59a8781453083e8a0092f9,8,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,False,False,False,427,stop
319d08f37f59a8781453083e8a0092f9,8,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,False,False,True,722,stop
138e7e9e8a1eb8b6557f2ba63bc5a05e,169,BASE,T0_OFF,primary,False,False,False,316,stop
138e7e9e8a1eb8b6557f2ba63bc5a05e,169,MASK_SENTINEL,T0_OFF,primary,True,True,True,354,stop
138e7e9e8a1eb8b6557f2ba63bc5a05e,169,BASE,T1_SILENT_CHECK,primary,True,True,True,420,stop
138e7e9e8a1eb8b6557f2ba63bc5a05e,169,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,403,stop
138e7e9e8a1eb8b6557f2ba63bc5a05e,169,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,False,False,False,300,stop
138e7e9e8a1eb8b6557f2ba63bc5a05e,169,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,True,True,True,405,stop
7464c28956601e5784edeb3e0b5d9c71,52,BASE,T1_SILENT_CHECK,primary,False,False,True,1693,stop
7464c28956601e5784edeb3e0b5d9c71,52,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,False,False,True,1820,stop
7464c28956601e5784edeb3e0b5d9c71,52,MASK_SENTINEL,T1_SILENT_CHECK,primary,False,False,True,2657,stop
7464c28956601e5784edeb3e0b5d9c71,52,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,False,False,True,3612,stop
7464c28956601e5784edeb3e0b5d9c71,52,BASE,T0_OFF,primary,False,False,True,4738,stop
7464c28956601e5784edeb3e0b5d9c71,52,MASK_SENTINEL,T0_OFF,primary,False,False,True,5528,stop
f59910ad6e5579d7fc4e79c426e6c5ce,77,BASE,T1_SILENT_CHECK,primary,True,True,True,764,stop
